nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
MG;1990;;148.0;;520.0;1029.0;;457;444.0;240.0;;1178.0;63;;;50.0;494
MS;1990;;40.0;;156.0;306.0;;137;146.0;72.0;;348.0;19;;;16.0;162
MT;1990;;39.0;;155.0;376.0;;139;164.0;66.0;;415.0;16;;;16.0;180
PA;1990;;78.0;;376.0;669.0;;337;424.0;242.0;;748.0;39;;;35.0;459
PB;1990;;41.0;;185.0;399.0;;172;206.0;95.0;;440.0;13;;;18.0;224
PE;1990;;219.0;;1377.0;2522.0;;1275;1616.0;955.0;;2742.0;101;;;111.0;1728
PI;1990;;5.0;;52.0;104.0;;50;32.0;16.0;;109.0;2;;;1.0;33
PR;1990;;125.0;;537.0;1041.0;;483;488.0;279.0;;1167.0;54;;;50.0;538
RJ;1990;;477.0;;3833.0;6614.0;;3616;5236.0;3172.0;;7101.0;215;;;312.0;5557
RN;1990;;20.0;;92.0;180.0;;85;108.0;58.0;;200.0;7;;;9.0;117
RO;1990;;37.0;;223.0;517.0;;202;278.0;130.0;;555.0;21;;;14.0;293
RR;1990;;20.0;;63.0;107.0;;52;8.0;3.0;;127.0;11;;;1.0;9
RS;1990;;157.0;;886.0;1547.0;;826;917.0;551.0;;1704.0;60;;;81.0;998
SC;1990;;46.0;;158.0;341.0;;140;150.0;77.0;;388.0;18;;;17.0;167
SE;1990;;13.0;;88.0;138.0;;80;69.0;5488.0;;151.0;8;;;6.0;75
SP;1990;;679.0;;5640.0;8824.0;;5300;2784.0;1861.0;;9503.0;340;;;185.0;2969
TO;1990;;7.0;;22.0;47.0;;19;21.0;10.0;;54.0;3;;;4.0;25
AC;1991;;9.0;;59.0;97.0;;53;56.0;38.0;;106.0;6;;;7.0;63
AL;1991;;67.0;;239.0;590.0;;219;234.0;99.0;;665.0;19;;;18.0;257
AM;1991;;18.0;;241.0;384.0;;231;222.0;141.0;;403.0;10;;;11.0;233
